1	0.00000	0.00082	0.00003
101	0.00001	0.02443	0.01597
201	0.00001	0.06285	0.02552
301	0.00001	0.11595	0.04501
401	0.00001	0.20764	0.07696
501	0.00001	0.32759	0.10476
601	0.00001	0.46813	0.13459
701	0.00002	0.62284	0.16790
801	0.00002	0.81430	0.23096
901	0.00002	1.03862	0.28806
1001	0.00002	1.26248	0.31817
1101	0.00003	1.55470	0.37432
1201	0.00003	1.85083	0.41454
1301	0.00003	2.14109	0.49415
1401	0.00004	2.46577	0.49941
1501	0.00004	2.86157	0.54096
1601	0.00004	3.22047	0.68105
1701	0.00005	3.67343	0.79433
1801	0.00005	4.13121	0.86302
1901	0.00005	4.62973	0.91378
